Step,Scaffold,SMILES,Metadata,SA Score,total_score,ID
2993.0,O=C1CC2OCC3CC2(O3)C2CCC34C(OCC5CC6C7CCC8CC(C(=O)C86)C5COCC5OC6C7COC56)CC5CCC3C3C(=O)CC3[SH+]C4C(O1)C1CC(=O)C(CC3CC=CC312)C1C(=O)C=CC51,C=C(C)C12CC(C)(COC3(O)C(O)C4(C(C)(C)O)CCC5C6(O)C(=O)C(C)(C)C6(O)[S+]([O-])C6C7OC(=O)CC8OC(OC)(C(=O)OC)C9OC8(C(CCC653)C35C=CC(C)(C)C3(O)CC(O)(C(=O)C(C)(C)C75)C3(O)C(=O)C(C)=CC34)C9(C)C)C3C(C(C)(C)O)OC(C)(OC)C4OC5C(NC)(COC45O)C1C(C)C(O)C1(O)C(O)C3(O)C(=O)C21,,9.594449043273926,9.594449043273926,Explorative Behaviour with High Threshold_0
2999.0,C=C1C(=O)OC2(CC3C=CC=CCC3)CCCC34CCC5C(CC12)[SH+]C3C1OC2OC36C(=O)CCC3CC3CC(CC(C7CC8CC(CO8)COC27)C1C1CC5C14)C6C1CCC2CC(O3)OC21,C=CC1(C)CC(=O)C23OC4(C)OC5(O)C6[S+]([O-])C7(O)C(O)C8(O)C(=C)C(=O)OC8(C(C)C8C=CC=CCC8)C(C)(C=C)CCC68CCC7(C(=C)C)C6(O)C(O)C(OC)(C5C(C)(CC5(O)C(O)C(O)(OC7(O)OC9(O)C(C7Cl)C(O)C(C)(C)C9(CO)C52C)C(O)C13O)C1(O)C(OC)C2OCC(C)(C(OC)OC41O)C2OC(C)=O)C86,,9.550577163696289,9.550577163696289,Explorative Behaviour with High Threshold_1
2995.0,O=C1CC23C4CCC([SH+]C2CCC2C5C6OC7CCCC(O7)C(C4)C4(CC7CCOCC7O4)C2OC65)C2CCC4CCOC5OC6OCCCCC6C5C5CC53C(CC4)C12,COC(C)C1(O)C(OC(C)(C)C)C2C3(C)C(OC(C)=O)C(O)C4(O)C(O)C5C6(C)OC(OC7(O)C8(CO)OC(C59CC5C(O)C(C)(C)OCC5(O)O9)C(C)(CCC([S+]3[O-])C43C(O)(C(C)(C)O)C(=O)C2(O)C2(C)C(O)C(O)C1(C)C(O)C(O)OC1OC4OC(C(C)O)C(O)C(O)C(O)C4C1(O)C1CC123)C78O)C(C)(O)CC6O,,9.544660568237305,9.544660568237305,Explorative Behaviour with High Threshold_2
2986.0,O=C(c1ccoc1)C1C2C3CCC14C1CC1COC(C1COCC1CC2C3)C1CC2C3CCCC3N4C13C(CCOC1OC4OCOC14)CC1CC4OCCC42CC3[SH+]1,C=CC1(C)CC23CC4[S+]([O-])C(O)(C(O)C2(C)O1)C(O)(C(C)(CCC=C(C)C)C(=O)C(=C)C)C(O)(CC(C)OC1OC2OC(C)(C)OC12)C41C2C(O)C3C3CC(C)C(O)(C(=O)OC)C3(O)N1C13C(O)(C(=O)OC)C(O)C4(OC)C(O)C(O)(C(O)C5C(C)OC(C)(C=C)C5C2OC(C)(C)C2C(OC(C)=O)C21C)C4(O)C3(O)C(=O)c1ccoc1,,9.489972114562988,9.489972114562988,Explorative Behaviour with High Threshold_3
2975.0,C=C1C(=O)C23CC1CCC2C[SH+]C1COC2CC4COCCC25CC2C(CC(OC(=O)c6ccc[nH]6)C6OC2C62CCC16C(OC2)C36)C1(CCc2cocc2C1)C1OC415,C=C1C(=O)C23C(O)C1C(OC(C)=O)C(O)C2(C)C[S+]([O-])C1COC2CC4(C)C(C(C)(C)O)OC(O)(C(O)C(O)C(C)(C)O)C(O)C25CC2C6(OC)OC(C(OC(=O)c7ccc[nH]7)CC2(C(=C)C)C2(C(O)c7coc(O)c7C(O)C2(C)O)C2(C)OC452)C62C(OC(C)(C)C(=C)C)OC4(OC)C3C14C(O)C2OC(C)=O,,9.482038497924805,9.482038497924805,Explorative Behaviour with High Threshold_4
2975.0,C=C1CC2C34CC5[SH+]C6CCC(C7OCC8CCOC8C7C(CCC7(CC=C3C7)C2(C2C=CCC2)C1=O)O4)C1C2CC1(COC(O2)C1CCCC52CCCC12)C1OCC61,C=CCCC12C3(O)OC4CC5(C(C)(CCC=C(C)C)O3)C3(O)OC(C)(C)C3C3(C)C(OC(C)=O)C(O)C(C)(C6OC(OC(C)=O)C7CC(C(C)(C)O)OC7(C)C6C6CCC78CC=C(C(O6)(C(O)C([S+]3[O-])C3(CC(O)(C(C)(C)O)C(O)C31C)C(O)C(O)C2(C)O)C1C(C)(C)C(=C)C(=O)C17C1C=C(C)C(C)(C)C1)C8(C)C)C45O,,9.481260299682617,9.481260299682617,Explorative Behaviour with High Threshold_5
2999.0,C1CC2C3CC4CC5CCC4C4(COCOC5)C5CC46C4CCC6C(CC[SH+]C(CC6CC7CC8CC7(O8)C7CC(CO7)OCC3C63OCO3)C25C1)C4,COC1C2COC(C)(C)OCC34C(O)(C(O)C2)C1(O)C(OC(C)=O)C1(O)C2COC5CC(OC5(C)C)C56OC(C)(C(O)C5(O)C(O)C(O)(CC5[S+]([O-])C(C)C(O)C7(O)C(O)(C(C)C)C8(CO)C(O)C(OC(C)=O)C7(O)C83C(O)C4(O)C53C(C)(O)CC(O)C13O)C21OC(C(C)(C)O)O1)C6C,,9.476614952087402,9.476614952087402,Explorative Behaviour with High Threshold_6
2994.0,C=C1C(=O)C23C=CCC4CCC56C7CNC8CC(COC85)CC(C[SH+]7)C6(CCO4)C1C1CC(C4CC(=O)C4CC4CCC4=O)OC1C2OCC1C2CC(COCOC3)CC1O2,C=C1C(=O)C23C=CCC4(C)CC(OC)C56C7CN(C)C8C(C)(C)C(C(O)OC85C(=O)OC)C(C)(C(=O)CO)C(C(O)(C=O)[S+]7[O-])C6(C(O)C(C(C)(C)C)O4)C1(O)C1(O)C(O)C(CO)(C4C(C)C(=O)C4(O)CC4C(=O)C(C)(C)C4(O)CO)OC1(C)C2OC(O)C1(C)C2OC1(C)CC(C(C)(C)OC(C)(C)OC3C)C2(C)C,,9.469372749328613,9.469372749328613,Explorative Behaviour with High Threshold_7
2996.0,C=C1CC2COC3C(=O)CC34C2C2COC35CCC2C34C(CCC23CC(C4CCC2(CCCO3)O4)C2OC2C23COC(CC2C3)C5CC2OC23CC(=C)C2COC23)[SH+]1,C=C1C(O)C2C3C4(C)C(OC)OC56C(O)C(C(C)(C)O)C4(O)C5(C(CC(C)(O)C45CC(C7CCC4(O7)C(O)C(O)C(C)(O)O5)C4(C)OC4C45COC(C(C)(C)C4(O)C5OC(C)=O)C6(O)C(OC(C)=O)C4OC45C4OCC4(O)C(=C)C5(C)C)[S+]1[O-])C31C(C)(C)C(=O)C1(O)OC2(C)C,,9.469219207763672,9.469219207763672,Explorative Behaviour with High Threshold_8
2993.0,O=C1OC2CC3[SH+]C4CC5CCCC56OC6CC35CCC3CCCC3C5(C4)C3CCC4CCC3CC3CCCCC43C3C(C=C12)OC1CCC2OC2C3CC1,C=C(C)CC1(COC)C(OC(C)=O)C(O)C(C)(OC)C23C1C(OC)C1(O)C(O)C(OC(C)=O)C2(O)CCC1(O)C12C4CCC(O)C4(C)CC(OC)C14CC1(C)OC15CC(O)C(O)(C(C)(C)O)C5(COC(C)(C)O)C(O)C(O)(C2OC(C)=O)[S+]([O-])C4CC1(C)OC(=O)C1=CC1OC2(C)CC(O)C(O)(C13)C1(O)OC1(CO)C(O)C2O,,9.46703815460205,9.46703815460205,Explorative Behaviour with High Threshold_9
