Step,Scaffold,SMILES,Metadata,SA Score,total_score
250,c1cn(C2C3CC45OC4CC2C2OCCC46CCC(O2)C2OC78CC(OC9CCCOC9)(CC7CCC28)C4C5C(CO3)O6)nn1,CC1CC23OC4COC5CC67OC6CC(C)(C(OC1C1OC68CC(OC9COC(C)(C)C(O)C9)(CC6C(C)C(O)C18C(C)C)C2C47C)OC(C)(O)C3O)C5n1ccnn1,,8.686647415,8.686647415
245,O=C1CC2OC3C4OC35CCCC3C(O1)C(CCCC34O2)C1CC2C=CC34OCC3(CCC4(OC2)O1)C5,C=CC12C(C)CCC34CC56CCC78OC(C)(C)C(C=CC57OC6)CC(C(C)C)(O8)C5CCC(C)C16OC(CCOC(C)(C)C)(OC3C6O4)C(CCCC)C(=O)OC52,,8.682971001,8.682971001
246,O=C1C2OC3C(n4cnnn4)C2C24CNC5C6C7C(CC2C7CC52CC2OC136)C4,CN1CC23CC4(O)CC2C2CC56CC5OC5(C(=O)C7OC5C(n5cnnn5)C73O)C(C24)C16,,8.163823128,8.163823128
231,O=C1C=CC2C1CC=CC1CC34CCC1OC23OC(c1occ2c1C1C3COC1CC(C2)C3)O4,COCC1=CC2C(OC)C34OC(c5oc(O)c6c5C5(C)C7CC(C6)CC5(C(C)C)OC7(C)C)OC3(OC2(C)CC4(C)C)C2C=C(C)C(=O)C2(O)C1,,8.059055328,8.059055328
240,O=C1CC23CCCC1C2CC12C=CCCCC1CC1C4OCC12C4C3,CC(=O)OC1(C)C(O)C(C)(O)C2(C)C(=O)CC13CC1C4(O)OCC15C1(C=CC(O)CCC1CC45C)C(O)C32,,7.99429512,7.99429512
242,O=C1CC2=CCC34C(=O)CC5OC6CC(C1)C(OC3O2)C64C1OC51,COC(=O)C1=C2CC(=O)C(C)(C)C3CC4OC5CC(=O)C6(C1)C(O2)OC3(O)C46C1OC51,,7.992823124,7.992823124
250,C1=COC2OC(C1)C1COC3CC4(CCC5OC4(O3)C52)C1,COC12OCC3CC4(CCC5OC4(O1)C5C1OC=CCC3(C)O1)C2C,,7.978376389,7.978376389
241,C1=CC23CC(OC2O1)C1CCC2C4CC56Oc7cocc7C5CC5OC56CC4CCC2C1C3,CC1C2OC3OC=CC31C(C)C1C3CCC4CC56OC5CC5c7c(coc7O)OC56CC4(C)C3CC(O)C21C,,7.973716736,7.973716736
245,C=C1CC2C(COC2OC23OC2C2CC3C34CC5CC(C5)C(C3=O)C24)O1,CC=C1CC2(C)C(OC34OC3C3CC4(C)C45CC6CC(C6(C)C)C(C)(C4=O)C35C)OC(C)C2O1,,7.966784,7.966784
241,C1CCC23CC4CCCC2C4C2CC(C1)C1CCC(C13)C21CO1,CC(=O)OC1CC(C)(C)C2C3C4C(O)C5C6C(C(CC6(C)C)C46CO6)C(C(O)CCC5(C)C)(C2O)C13,,7.958503246,7.958503246
240,O=C1CC2=CC3C(CC4CC3N3C5CC6CC3C5(C=CC6=O)C3=C4CC4=C(C=NO3)C4)C2CCN1,CC12CC3N4C5CC(CC6(C)C5C=C5CC(=O)NCCC56C)C5=C(oncc6c(C5)C6)C3(C=CC1=O)C4C2,,7.957599163,7.957599163
