Step,Scaffold,SMILES,Metadata,QED Score,total_score,ID
196.0,Clc1cccc(Nc2ccccc2)c1,Clc1cccc(Nc2ccccc2)c1,,0.7756288647651672,0.7756288647651672,Automated Curriculum Learning Demo_0
196.0,Oc1c2c(c(O)n1-c1ccsc1)CC=C2,Oc1c2c(c(O)n1-c1ccsc1)CC=C2,,0.7737089395523071,0.7737089395523071,Automated Curriculum Learning Demo_1
196.0,c1ncc2nc(C3CNC3)n(Cc3ccoc3)c2n1,c1ncc2nc(C3CNC3)n(Cc3ccoc3)c2n1,,0.7600952386856079,0.7600952386856079,Automated Curriculum Learning Demo_2
196.0,CNc1ccc(-c2ccccc2)o1,CNc1ccc(-c2ccccc2)o1,,0.7547699213027954,0.7547699213027954,Automated Curriculum Learning Demo_3
196.0,COC(=O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,COC(=O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,,0.7385151386260986,0.7385151386260986,Automated Curriculum Learning Demo_4
196.0,O=S(=O)(c1cccc(F)c1)n1ccc2ccccc21,O=S(=O)(c1cccc(F)c1)n1ccc2ccccc21,,0.720838189125061,0.720838189125061,Automated Curriculum Learning Demo_5
196.0,O=Cc1c(=Nc2cccs2)ccn2[nH]cnc12,O=Cc1c(=Nc2cccs2)ccn2[nH]cnc12,,0.6981709003448486,0.6981709003448486,Automated Curriculum Learning Demo_6
196.0,c1cncc(Oc2cnccn2)c1,c1cncc(Oc2cnccn2)c1,,0.6925223469734192,0.6925223469734192,Automated Curriculum Learning Demo_7
196.0,c1cncc(-c2noc(-c3ccncc3)n2)c1,c1cncc(-c2noc(-c3ccncc3)n2)c1,,0.6671586036682129,0.6671586036682129,Automated Curriculum Learning Demo_8
196.0,Cn1nc(C(F)(F)F)c2ncccc21,Cn1nc(C(F)(F)F)c2ncccc21,,0.6520854830741882,0.6520854830741882,Automated Curriculum Learning Demo_9
196.0,O=C(Nc1ccccc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccccc1)c1ccc([N+](=O)[O-])o1,,0.6500293612480164,0.6500293612480164,Automated Curriculum Learning Demo_10
196.0,COc1ccc2ncccc2c1,COc1ccc2ncccc2c1,,0.6362245082855225,0.6362245082855225,Automated Curriculum Learning Demo_11
196.0,Cc1ccc(-n2cccn2)cc1,Cc1ccc(-n2cccn2)cc1,,0.6216143369674683,0.6216143369674683,Automated Curriculum Learning Demo_12
196.0,c1csc(-c2cnc3ccccc3n2)c1,c1csc(-c2cnc3ccccc3n2)c1,,0.6177926659584045,0.6177926659584045,Automated Curriculum Learning Demo_13
196.0,Oc1cccc2cccnc12,Oc1cccc2cccnc12,,0.614103376865387,0.614103376865387,Automated Curriculum Learning Demo_14
196.0,c1coc(-c2nc3cccnc3s2)c1,c1coc(-c2nc3cccnc3s2)c1,,0.6085896492004395,0.6085896492004395,Automated Curriculum Learning Demo_15
196.0,c1csc(-c2nc3cccnc3o2)c1,c1csc(-c2nc3cccnc3o2)c1,,0.6085896492004395,0.6085896492004395,Automated Curriculum Learning Demo_16
196.0,c1ccc(-c2nc3ncccc3o2)cc1,c1ccc(-c2nc3ncccc3o2)cc1,,0.6002824902534485,0.6002824902534485,Automated Curriculum Learning Demo_17
196.0,c1ccc(-n2ccc3ncccc32)nc1,c1ccc(-n2ccc3ncccc32)nc1,,0.5966485738754272,0.5966485738754272,Automated Curriculum Learning Demo_18
196.0,Fc1ncccc1-c1ccc2cnccc2c1,Fc1ncccc1-c1ccc2cnccc2c1,,0.5915999412536621,0.5915999412536621,Automated Curriculum Learning Demo_19
196.0,O=S1(=O)c2ncccc2Oc2cccnc21,O=S1(=O)c2ncccc2Oc2cccnc21,,0.5879335999488831,0.5879335999488831,Automated Curriculum Learning Demo_20
196.0,Clc1ccc2cccnc2c1,Clc1ccc2cccnc2c1,,0.5821504592895508,0.5821504592895508,Automated Curriculum Learning Demo_21
196.0,Oc1occ2occc12,Oc1occ2occc12,,0.5812636613845825,0.5812636613845825,Automated Curriculum Learning Demo_22
196.0,Clc1ccc2cc[nH]c2n1,Clc1ccc2cc[nH]c2n1,,0.5765007734298706,0.5765007734298706,Automated Curriculum Learning Demo_23
196.0,c1ccc2c(c1)nc1n2CCC1,c1ccc2c(c1)nc1n2CCC1,,0.5729117393493652,0.5729117393493652,Automated Curriculum Learning Demo_24
196.0,O=c1ccc2ncccc2o1,O=c1ccc2ncccc2o1,,0.5616766214370728,0.5616766214370728,Automated Curriculum Learning Demo_25
196.0,c1cc2nc[nH]c2cn1,c1cc2nc[nH]c2cn1,,0.5607362389564514,0.5607362389564514,Automated Curriculum Learning Demo_26
196.0,Cc1cc2ncccc2s1,Cc1cc2ncccc2s1,,0.5607361197471619,0.5607361197471619,Automated Curriculum Learning Demo_27
196.0,c1cnc2scnc2c1,c1cnc2scnc2c1,,0.5504288077354431,0.5504288077354431,Automated Curriculum Learning Demo_28
196.0,Cc1nc2cccnc2o1,Cc1nc2cccnc2o1,,0.5480591058731079,0.5480591058731079,Automated Curriculum Learning Demo_29
196.0,c1cnc2c(c1)sc1cncnc12,c1cnc2c(c1)sc1cncnc12,,0.5414132475852966,0.5414132475852966,Automated Curriculum Learning Demo_30
196.0,c1cnc2sc3cncnc3c2c1,c1cnc2sc3cncnc3c2c1,,0.5414132475852966,0.5414132475852966,Automated Curriculum Learning Demo_31
196.0,c1ccc2nccnc2c1,c1ccc2nccnc2c1,,0.5412819385528564,0.5412819385528564,Automated Curriculum Learning Demo_32
196.0,c1cnc2ccncc2c1,c1cnc2ccncc2c1,,0.5412819385528564,0.5412819385528564,Automated Curriculum Learning Demo_33
196.0,c1cnc2cnccc2c1,c1cnc2cnccc2c1,,0.5412819385528564,0.5412819385528564,Automated Curriculum Learning Demo_34
196.0,c1cnc2ncccc2c1,c1cnc2ncccc2c1,,0.5412819385528564,0.5412819385528564,Automated Curriculum Learning Demo_35
196.0,c1cnc2cccnc2c1,c1cnc2cccnc2c1,,0.5412819385528564,0.5412819385528564,Automated Curriculum Learning Demo_36
196.0,c1cnc2sccc2c1,c1cnc2sccc2c1,,0.5397735834121704,0.5397735834121704,Automated Curriculum Learning Demo_37
196.0,c1cnc2ccsc2c1,c1cnc2ccsc2c1,,0.5397735834121704,0.5397735834121704,Automated Curriculum Learning Demo_38
196.0,c1ccc2scnc2c1,c1ccc2scnc2c1,,0.5397735834121704,0.5397735834121704,Automated Curriculum Learning Demo_39
196.0,c1cnc2c(c1)ncc1ccsc12,c1cnc2c(c1)ncc1ccsc12,,0.5391846895217896,0.5391846895217896,Automated Curriculum Learning Demo_40
196.0,c1cc2nocc2s1,c1cc2nocc2s1,,0.5369877815246582,0.5369877815246582,Automated Curriculum Learning Demo_41
196.0,Cn1cnc2cccnc21,Cn1cnc2cccnc21,,0.5357229709625244,0.5357229709625244,Automated Curriculum Learning Demo_42
196.0,c1cnc2nccnc2c1,c1cnc2nccnc2c1,,0.5355010628700256,0.5355010628700256,Automated Curriculum Learning Demo_43
196.0,c1cnc2cncnc2c1,c1cnc2cncnc2c1,,0.5355010628700256,0.5355010628700256,Automated Curriculum Learning Demo_44
196.0,Cn1ccc2ncccc21,Cn1ccc2ncccc21,,0.5317046642303467,0.5317046642303467,Automated Curriculum Learning Demo_45
196.0,c1ccc2ncccc2c1,c1ccc2ncccc2c1,,0.5311915874481201,0.5311915874481201,Automated Curriculum Learning Demo_46
196.0,c1ccc2ocnc2c1,c1ccc2ocnc2c1,,0.5283477902412415,0.5283477902412415,Automated Curriculum Learning Demo_47
196.0,c1cnc2ccoc2c1,c1cnc2ccoc2c1,,0.5283477902412415,0.5283477902412415,Automated Curriculum Learning Demo_48
196.0,c1cnc2occc2c1,c1cnc2occc2c1,,0.5283477902412415,0.5283477902412415,Automated Curriculum Learning Demo_49
196.0,c1cnc2oncc2c1,c1cnc2oncc2c1,,0.5243369936943054,0.5243369936943054,Automated Curriculum Learning Demo_50
196.0,c1cnc2ocnc2c1,c1cnc2ocnc2c1,,0.5243369936943054,0.5243369936943054,Automated Curriculum Learning Demo_51
196.0,c1cnc2conc2c1,c1cnc2conc2c1,,0.5243369936943054,0.5243369936943054,Automated Curriculum Learning Demo_52
196.0,c1cnc2cc3occc3cc2c1,c1cnc2cc3occc3cc2c1,,0.5166876316070557,0.5166876316070557,Automated Curriculum Learning Demo_53
196.0,c1cnc2ccnn2c1,c1cnc2ccnn2c1,,0.5113756060600281,0.5113756060600281,Automated Curriculum Learning Demo_54
196.0,c1cnn2ccnc2c1,c1cnn2ccnc2c1,,0.5113756060600281,0.5113756060600281,Automated Curriculum Learning Demo_55
196.0,c1cnc2nccn2c1,c1cnc2nccn2c1,,0.5113756060600281,0.5113756060600281,Automated Curriculum Learning Demo_56
196.0,c1cnn2cncc2c1,c1cnn2cncc2c1,,0.5113756060600281,0.5113756060600281,Automated Curriculum Learning Demo_57
196.0,c1ccn2nccc2c1,c1ccn2nccc2c1,,0.5098151564598083,0.5098151564598083,Automated Curriculum Learning Demo_58
196.0,c1cnc2c(c1)ccc1nccnc12,c1cnc2c(c1)ccc1nccnc12,,0.4987628757953644,0.4987628757953644,Automated Curriculum Learning Demo_59
196.0,c1cnc2ncn3ncnc3c2c1,c1cnc2ncn3ncnc3c2c1,,0.49854788184165955,0.49854788184165955,Automated Curriculum Learning Demo_60
196.0,c1cnn2cnnc2c1,c1cnn2cnnc2c1,,0.49573981761932373,0.49573981761932373,Automated Curriculum Learning Demo_61
196.0,Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1,,0.4933927059173584,0.4933927059173584,Automated Curriculum Learning Demo_62
196.0,c1ccc2c(c1)sc1cccn12,c1ccc2c(c1)sc1cccn12,,0.49161767959594727,0.49161767959594727,Automated Curriculum Learning Demo_63
196.0,N=c1[nH]c2cccnc2[nH]1,N=c1[nH]c2cccnc2[nH]1,,0.478385329246521,0.478385329246521,Automated Curriculum Learning Demo_64
196.0,c1ccncc1,c1ccncc1,,0.4531479775905609,0.4531479775905609,Automated Curriculum Learning Demo_65
196.0,c1cnoc1,c1cnoc1,,0.4472609758377075,0.4472609758377075,Automated Curriculum Learning Demo_66
196.0,Cc1ccccc1[N+](=O)[O-],Cc1ccccc1[N+](=O)[O-],,0.43791186809539795,0.43791186809539795,Automated Curriculum Learning Demo_67
