Step,Scaffold,SMILES,Metadata,SA Score,total_score
208,CC(C)C1OC2C(O)C34CC56C(O)C7C(C)(C)C8CC(C9(C)COC(C)(C)OC(CN9)NC(=O)O8)C58C3OC(=O)C8(C)CCC6C7(C)CC4(C)C2(C)C1O,CC(C)C1OC2C(O)C34CC56C(O)C7C(C)(C)C8CC(C9(C)COC(C)(C)OC(CN9)NC(=O)O8)C58C3OC(=O)C8(C)CCC6C7(C)CC4(C)C2(C)C1O,,8.488404274,8.488404274
205,CC1CC2OC3(C)CCC45C6(C)OOC7(OC8C(O)C(O)C(C)(C)C9CCC(C)(C%10C(OC9%10C)C(C1C)C24OO3)C87C)C5(C)CCC6O,CC1CC2OC3(C)CCC45C6(C)OOC7(OC8C(O)C(O)C(C)(C)C9CCC(C)(C%10C(OC9%10C)C(C1C)C24OO3)C87C)C5(C)CCC6O,,8.410445213,8.410445213
207,CC1(C)OC23CCC2(C)C24CCC56CC7C8(COC9OC(O)(C5)C(O)(CO8)C92C)C(CC64C)OCC3(C)C7(O)CC1O,CC1(C)OC23CCC2(C)C24CCC56CC7C8(COC9OC(O)(C5)C(O)(CO8)C92C)C(CC64C)OCC3(C)C7(O)CC1O,,8.374444962,8.374444962
188,COC1CC2OC34CC(CC23)C2OC3C5C(CCC(C)(C)O2)(CC13O)C1(O)C(O)C2(C)C(c3ccoc3)CC3OC31C2(C)C(OC(C)=O)C54O,COC1CC2OC34CC(CC23)C2OC3C5C(CCC(C)(C)O2)(CC13O)C1(O)C(O)C2(C)C(c3ccoc3)CC3OC31C2(C)C(OC(C)=O)C54O,,8.328042984,8.328042984
195,COC12COC34CC5(O)C6Cc7ccc(O)c8c7C5(C1O8)C(C)(C)C1(OC)C(C)(C)OC1(O)C1(O)C6C(C)(C)C(O)C1C(C2)(O3)C(C)C1CC1C4(C)C,COC12COC34CC5(O)C6Cc7ccc(O)c8c7C5(C1O8)C(C)(C)C1(OC)C(C)(C)OC1(O)C1(O)C6C(C)(C)C(O)C1C(C2)(O3)C(C)C1CC1C4(C)C,,8.282946587,8.282946587
200,CC1C23OC2(C2(C)CO2)OC(C)(C)OC2C4CC3C41C(C)(O)C1(O)OC3CC21C1C3(C)CCC2C3CCCC21CO3,CC1C23OC2(C2(C)CO2)OC(C)(C)OC2C4CC3C41C(C)(O)C1(O)OC3CC21C1C3(C)CCC2C3CCCC21CO3,,8.25454998,8.25454998
204,COC1CC(C)CC2C3(OC(=O)C14C(O)CS(=O)(=O)C4O)OC1C4CC5C(OC6OC(CO)C(O)C(O)C6O)N4C4(C)C(OC)OC52C1C34,COC1CC(C)CC2C3(OC(=O)C14C(O)CS(=O)(=O)C4O)OC1C4CC5C(OC6OC(CO)C(O)C(O)C6O)N4C4(C)C(OC)OC52C1C34,,8.246508598,8.246508598
206,COC1C2OC(C)(C)OC2C2OC3(O)OC(C)(C)OC3C2C1OC(O)C1C(OC(=O)C(C)(C)C)C(O)C2(C)C3(C)CC4(C5OC46CC3CCCC(C)(C)C56)C(C)(O)C23CC1C(C)(C)O3,COC1C2OC(C)(C)OC2C2OC3(O)OC(C)(C)OC3C2C1OC(O)C1C(OC(=O)C(C)(C)C)C(O)C2(C)C3(C)CC4(C5OC46CC3CCCC(C)(C)C56)C(C)(O)C23CC1C(C)(C)O3,,8.223022461,8.223022461
202,CN1C2C1C13COC(O)C4(C)CC5C(C)(C)C6C1(C)C1(O)OC2(O)C5(OC(CC(C)(O)C61O)O3)C4O,CN1C2C1C13COC(O)C4(C)CC5C(C)(C)C6C1(C)C1(O)OC2(O)C5(OC(CC(C)(O)C61O)O3)C4O,,8.206474304,8.206474304
193,COC1C(O)C(C)OC(OCC23CC(Cl)C45C6CC(C)C(C)(CCC7OC2(c2cccnc2)C(C)CC73OOC2OC(c3ccoc3)CC2OC42OC25)C6)C1O,COC1C(O)C(C)OC(OCC23CC(Cl)C45C6CC(C)C(C)(CCC7OC2(c2cccnc2)C(C)CC73OOC2OC(c3ccoc3)CC2OC42OC25)C6)C1O,,8.185727119,8.185727119
192,COC1C(O)C(O)C23C1CC(N(C)C)C14c5c(O)ccc(O)c5C5(CCC2(O)C(CC32CO2)N5)C2C1CCN(CC1CC1)C4[N+]2(C)C,COC1C(O)C(O)C23C1CC(N(C)C)C14c5c(O)ccc(O)c5C5(CCC2(O)C(CC32CO2)N5)C2C1CCN(CC1CC1)C4[N+]2(C)C,,8.169988632,8.169988632
184,COC(=O)C1(C)CC(C)C2C(CC3(C)C4C(O)C56COC(O5)C57C(O)C8C9(C)C%10COC%109C(C)(C)OC(O)C8(O)C(C)(C)C5(OCC67)C4(C)COC23C)O1,COC(=O)C1(C)CC(C)C2C(CC3(C)C4C(O)C56COC(O5)C57C(O)C8C9(C)C%10COC%109C(C)(C)OC(O)C8(O)C(C)(C)C5(OCC67)C4(C)COC23C)O1,,8.138877869,8.138877869
206,C=CC12C3C4C(O)C5N3CC(O)(C(OC)CC3C(OC)C6(O)CC(C35CC6OC)C35C6CC(CCN6C)(C1C43c1ccccc1)C5OC)C2O,C=CC12C3C4C(O)C5N3CC(O)(C(OC)CC3C(OC)C6(O)CC(C35CC6OC)C35C6CC(CCN6C)(C1C43c1ccccc1)C5OC)C2O,,8.138462067,8.138462067
194,CC(C)NC1(C)OC23CC4C5(N)COC(=O)C46OC4CCC(=O)C7(C)C8OC(C2C1N=C3C6C5C)C47CC8N,CC(C)NC1(C)OC23CC4C5(N)COC(=O)C46OC4CCC(=O)C7(C)C8OC(C2C1N=C3C6C5C)C47CC8N,,8.133268356,8.133268356
198,CC1(C)CCC23CC4(C)CC(C2)(C3C1)C12CC4C13CC1C4(C)CCC(OC(=O)C5CCC5)C(C)(C)C4CCC1(C)C3(C)CCC1(C)OC3OC4(C)OCC3(OO4)C12,CC1(C)CCC23CC4(C)CC(C2)(C3C1)C12CC4C13CC1C4(C)CCC(OC(=O)C5CCC5)C(C)(C)C4CCC1(C)C3(C)CCC1(C)OC3OC4(C)OCC3(OO4)C12,,8.130496979,8.130496979
